Release Date,Time,Actual,Forecast,Previous
"Mar 12, 2021 (Feb)",16:30,0.5%,0.5%,1.3%
"Feb 17, 2021 (Jan)",16:30,1.3%,0.4%,0.3%
"Jan 15, 2021 (Dec)",16:30,0.3%,0.4%,0.1%
"Dec 11, 2020 (Nov)",16:30,0.1%,0.2%,0.3%
"Nov 13, 2020 (Oct)",16:30,0.3%,0.2%,0.4%
"Oct 14, 2020 (Sep)",15:30,0.4%,0.2%,0.3%
"Sep 10, 2020 (Aug)",15:30,0.3%,0.2%,0.6%
"Aug 11, 2020 (Jul)",15:30,0.6%,0.3%,-0.2%
"Jul 10, 2020 (Jun)",15:30,-0.2%,0.4%,0.4%
"Jun 11, 2020 (May)",15:30,0.4%,0.1%,-1.3%
"May 13, 2020 (Apr)",15:30,-1.3%,-0.5%,-0.2%
"Apr 09, 2020 (Mar)",15:30,-0.2%,-0.4%,-0.6%
"Mar 12, 2020 (Feb)",15:30,-0.6%,-0.1%,0.5%
"Feb 19, 2020 (Jan)",16:30,0.5%,0.1%,0.2%
"Jan 15, 2020 (Dec)",16:30,0.1%,0.2%,0.0%
"Dec 12, 2019 (Nov)",16:30,0.0%,0.2%,0.4%
"Nov 14, 2019 (Oct)",16:30,0.4%,0.3%,-0.3%
"Oct 08, 2019 (Sep)",15:30,-0.3%,0.1%,0.1%
"Sep 11, 2019 (Aug)",15:30,0.1%,0.1%,0.2%
"Aug 09, 2019 (Jul)",15:30,0.2%,0.2%,0.1%
"Jul 12, 2019 (Jun)",15:30,0.1%,0.1%,0.1%
"Jun 11, 2019 (May)",15:30,0.1%,0.1%,0.2%
"May 09, 2019 (Apr)",15:30,0.2%,0.2%,0.6%
"Apr 11, 2019 (Mar)",15:30,0.6%,0.3%,0.1%
"Mar 13, 2019 (Feb)",15:30,0.1%,0.2%,-0.1%
"Feb 14, 2019 (Jan)",16:30,-0.1%,0.1%,-0.1%
"Jan 15, 2019 (Dec)",16:30,-0.2%,-0.1%,0.1%
"Dec 11, 2018 (Nov)",16:30,0.1%,0.1%,0.6%
"Nov 09, 2018 (Oct)",16:30,0.6%,0.2%,0.2%
"Oct 10, 2018 (Sep)",15:30,0.2%,0.2%,-0.1%
"Sep 12, 2018 (Aug)",15:30,-0.1%,0.2%,0.0%
"Aug 09, 2018 (Jul)",15:30,0.0%,0.2%,0.3%
"Jul 11, 2018 (Jun)",15:30,0.3%,0.2%,0.5%
"Jun 13, 2018 (May)",15:30,0.5%,0.3%,0.1%
"May 09, 2018 (Apr)",15:30,0.1%,0.2%,0.3%
"Apr 10, 2018 (Mar)",15:30,0.3%,0.1%,0.2%
"Mar 14, 2018 (Feb)",15:30,0.2%,0.1%,0.4%
"Feb 15, 2018 (Jan)",16:30,0.4%,0.4%,-0.1%
"Jan 11, 2018 (Dec)",16:30,-0.1%,0.2%,0.4%
"Dec 12, 2017 (Nov)",16:30,0.4%,0.4%,0.4%
"Nov 14, 2017 (Oct)",16:30,0.4%,0.1%,0.4%
"Oct 12, 2017 (Sep)",15:30,0.4%,0.4%,0.2%
"Sep 13, 2017 (Aug)",15:30,0.2%,0.3%,-0.1%
"Aug 10, 2017 (Jul)",15:30,-0.1%,0.1%,0.1%
"Jul 13, 2017 (Jun)",15:30,0.1%,-0.1%,0.0%
"Jun 13, 2017 (May)",15:30,0.0%,0.1%,0.5%
"May 11, 2017 (Apr)",15:30,0.5%,0.2%,-0.1%
"Apr 13, 2017 (Mar)",15:30,-0.1%,0.0%,0.3%
"Mar 14, 2017 (Feb)",15:30,0.3%,0.1%,0.6%
"Feb 14, 2017 (Jan)",16:30,0.6%,0.3%,0.3%
"Jan 13, 2017 (Dec)",16:30,0.3%,0.3%,0.4%
"Dec 14, 2016 (Nov)",16:30,0.4%,0.1%,0.0%
"Nov 16, 2016 (Oct)",16:30,0.0%,0.3%,0.3%
"Oct 14, 2016 (Sep)",15:30,0.3%,0.2%,0.0%
"Sep 15, 2016 (Aug)",15:30,0.0%,0.1%,-0.4%
"Aug 12, 2016 (Jul)",15:30,-0.4%,0.1%,0.5%
"Jul 14, 2016 (Jun)",15:30,0.5%,0.3%,0.4%
"Jun 15, 2016 (May)",15:30,0.4%,0.3%,0.2%
"May 13, 2016 (Apr)",15:30,0.2%,0.3%,-0.1%
"Apr 13, 2016 (Mar)",15:30,-0.1%,0.2%,-0.2%
"Mar 15, 2016 (Feb)",15:30,-0.2%,-0.2%,0.1%
"Feb 17, 2016 (Jan)",16:30,0.1%,-0.2%,-0.2%
"Jan 15, 2016 (Dec)",16:30,-0.2%,-0.2%,0.3%
"Dec 11, 2015 (Nov)",16:30,0.3%,-0.1%,-0.4%
"Nov 13, 2015 (Oct)",16:30,-0.4%,0.2%,-0.5%
"Oct 14, 2015 (Sep)",15:30,-0.5%,-0.2%,0.0%
"Sep 11, 2015 (Aug)",15:30,0.0%,-0.1%,0.2%
"Aug 14, 2015 (Jul)",15:30,0.2%,0.1%,0.4%
"Jul 15, 2015 (Jun)",15:30,0.4%,0.2%,0.5%
"Jun 12, 2015 (May)",15:30,0.5%,0.4%,-0.4%
"May 14, 2015 (Apr)",15:30,-0.4%,0.2%,0.2%
"Apr 14, 2015 (Mar)",15:30,0.2%,0.2%,-0.5%
"Mar 13, 2015 (Feb)",15:30,-0.5%,0.3%,-0.8%
"Feb 18, 2015 (Jan)",16:30,-0.8%,-0.4%,-0.3%
"Jan 15, 2015 (Dec)",16:30,-0.3%,-0.4%,-0.2%
"Dec 12, 2014 (Nov)",16:30,-0.2%,-0.1%,0.2%
"Nov 18, 2014 (Oct)",16:30,0.2%,-0.1%,-0.1%
"Oct 15, 2014 (Sep)",15:30,-0.1%,0.1%,0.0%
"Sep 16, 2014 (Aug)",15:30,0.0%,0.1%,0.1%
