Release Date,Time,Actual,Forecast,Previous
"Aug 03, 2016 (Jul)",3:00,3.96%, ,3.41%
"Jul 04, 2016 (Jun)",3:00,3.41%, ,3.25%
"Jun 03, 2016 (May)",3:00,3.25%, ,2.87%
"May 03, 2016 (Apr)",3:00,2.87%, ,3.80%
"Apr 04, 2016 (Mar)",3:00,3.80%,3.95%,4.47%
"Mar 03, 2016 (Feb)",4:00,4.47%,5.73%,5.94%
"Feb 03, 2016 (Jan)",4:00,5.94%,6.40%,5.71%
"Jan 04, 2016 (Dec)",4:00,5.71%,6.03%,5.25%
"Dec 03, 2015 (Nov)",4:00,5.25%, ,5.74%
"Nov 03, 2015 (Oct)",3:00,5.74%,7.00%,6.92%
"Oct 05, 2015 (Sep)",3:00,6.92%, ,6.21%
"Sep 03, 2015 (Aug)",3:00,6.21%,5.80%,5.62%
"Aug 03, 2015 (Jul)",3:00,5.62%, ,6.73%
"Jul 03, 2015 (Jun)",3:00,6.73%, ,6.52%
"Jun 03, 2015 (May)",3:00,6.52%,6.60%,4.80%
"May 04, 2015 (Apr)",3:00,4.80%, ,3.41%
"Apr 03, 2015 (Mar)",3:00,3.41%,3.04%,3.10%
"Mar 03, 2015 (Feb)",4:00,3.10%,3.14%,3.28%
"Feb 03, 2015 (Jan)",4:00,3.28%,3.46%,6.36%
"Jan 05, 2015 (Dec)",4:00,6.36%, ,8.36%
"Dec 03, 2014 (Nov)",4:00,8.36%, ,10.10%
"Nov 03, 2014 (Oct)",4:00,10.10%, ,9.84%
"Oct 03, 2014 (Sep)",3:00,9.84%, ,9.88%
"Sep 03, 2014",3:00,9.88%, ,9.46%
"Aug 04, 2014",3:00,9.46%, ,9.75%
"Jul 03, 2014",3:00,9.75%,10.15%,11.28%
"Jun 03, 2014",3:00,11.28%, ,12.98%
5-May-14,3:00,12.98%,13.10%,12.31%
"Apr 03, 2014",3:00,12.31%,12.52%,12.40%
3-Mar-14,4:00,12.40%, ,10.72%
"Feb 03, 2014",4:00,10.72%, ,6.97%
"Jan 03, 2014",4:00,6.97%, ,5.67%
"Dec 03, 2013",4:00,5.67%,5.73%,6.77%
