Release Date,Time,Actual,Forecast,Previous
"Nov 03, 2014 (Oct)",4:00,8.96%,8.90%,8.86%
"Oct 03, 2014 (Sep)",3:00,8.86%, ,9.54%
"Sep 03, 2014",3:00,9.54%,9.40%,9.32%
"Aug 04, 2014",3:00,9.32%,8.80%,9.16%
"Jul 03, 2014",3:00,9.16%,8.80%,9.66%
"Jun 03, 2014",3:00,9.66%,10.05%,9.38%
5-May-14,3:00,9.38%,8.93%,8.39%
"Apr 03, 2014",3:00,8.39%,8.14%,7.89%
3-Mar-14,4:00,7.89%,8.02%,7.75%
"Feb 03, 2014",4:00,7.48%,7.50%,7.40%
"Jan 03, 2014",4:00,7.40%, ,7.32%
"Dec 03, 2013",4:00,7.32%,7.82%,7.71%
